Model,accuracy,precision,recall,f1,specificity,roc_auc,avg_precision,true_positives,true_negatives,false_positives,false_negatives
Logistic Regression (ElasticNet),0.6648190476190476,0.6825048262548262,0.8643156189835896,0.7627253482194626,0.33473226475198464,0.6947253846281587,0.7887971230791393,56566,13240,26314,8880
Random Forest,0.6509238095238096,0.7364617380878078,0.685114445497051,0.7098607603954753,0.5943520250796379,0.7009944898390948,0.79185795537181,44838,23509,16045,20608
LightGBM,0.652552380952381,0.7744258318805427,0.6244537481282278,0.6914006327293644,0.6990443444405117,0.7240416742853708,0.8085101923842117,40868,27650,11904,24578
Neural Network (MLP),0.6235428571428572,0.7613544691836076,0.5768266968187513,0.656367904025037,0.7008393588511908,0.6962635874877914,0.78961586186883,37751,27721,11833,27695
